ServerName,ServerVersion,EASInternalURL,EASExternalURL,OABInternalURL,OABExernalURL,OWAInternalURL,OWAExernalURL,ECPInternalURL,ECPExernalURL,AutoDiscName,AutoDiscURI,EWSInternalURL,EWSExernalURL,OutlookAnywhere-InternalHostName(NoneForE2010),OutlookAnywhere-ExternalHostNAme(E2010+)
E2010,Version 14.3 (Build 123.4),https://webmail.canada.ca/Microsoft-Server-ActiveSync,https://webmail.canada.ca/Microsoft-Server-ActiveSync,https://webmail.canada.ca/oab,https://webmail.canada.ca/oab,https://webmail.canada.ca/owa,https://webmail.canada.ca/owa,https://webmail.canada.ca/ecp,https://webmail.canada.ca/ecp,E2010,,https://webmail.canada.ca/ews/Exchange.asmx,https://webmail.canada.ca/ews/Exchange.asmx,,webmail.canada.ca
